birthDateDay,birthDateMonth,birthDateYear,bodytype,cats,childrenHave,childrenWant,diet,dogs,drinking,drugs,educationModifier,educationValue,gender,heightCm,locationCountryCode,locationFormatted,monogamous,orientation,religionModifier,religionValue,sign,smoking,status,username,weed
27,10,1976,rather_not_say,,,,,,socially,,,,woman,160,tw,taipei,,straight,,buddhism,,no,single,07flying,
1,5,1983,,,,,,,,never,,,man,0,tw,chung-yan-tsun,,straight,,,,,single,098dmx,
1,1,1976,average_build,,,,,,socially,never,,,woman,162,tw,tai-chung-shih,,straight,,christianity,,no,single,10wa,
10,7,1974,,,,,,,,,,,woman,0,tw,taipei,,straight,,,,,single,11mjerao,
8,2,1984,,,,,,,,,,,woman,0,tw,tao-yan,,straight,,,,,single,1212amber,
30,8,1985,fit,,doesnt_have,wants,,,socially,never,,university,man,180,tw,hou-kang-chien,,straight,,atheism,aries,no,single,12flugor,
24,1,1981,full_figured,has_cats,doesnt_have,might_want,,,socially,never,,,woman,163,tw,liu-chang-li,,straight,,,aquarius,no,single,1981124h,
29,12,1975,fit,,doesnt_have,,omnivore,,socially,never,,post_grad,man,186,tw,taipei,,straight,,christianity,,no,single,1newkid,
17,1,1989,,,,,,,,never,,,man,0,tw,kao-hsiung-ka,,straight,,,,,single,20160131,
8,11,1988,,,,,,,,,,,woman,0,tw,taipei,,straight,,,,no,single,2020201,
23,10,1992,,,doesnt_have,wants,,,socially,never,,,woman,160,tw,,,straight,,,scorpio,no,single,23_missm,
23,12,1991,,,,,,,,,,,woman,0,tw,tai-chung-shih,,straight,,,,,single,23charina,
12,8,1998,,,,,,,,,,,man,0,tw,,,straight,,,,,single,28851262,
23,10,1983,average_build,,,,omnivore,,socially,never,,post_grad,woman,170,tw,sung-shan,,straight,,,libra,no,single,33hibiscus,
27,1,1967,average_build,,doesnt_have,,,has_dogs,not_at_all,never,,university,woman,163,tw,kao-hsiung-ka,,straight,,,aquarius,no,single,3princess,
9,6,1988,,,doesnt_have,,omnivore,,socially,never,,post_grad,woman,159,tw,taipei,,straight,,,gemini,no,single,3san3,
