birthDateDay,birthDateMonth,birthDateYear,bodytype,cats,childrenHave,childrenWant,diet,dogs,drinking,drugs,educationModifier,educationValue,gender,heightCm,locationCountryCode,locationFormatted,monogamous,orientation,religionModifier,religionValue,sign,smoking,status,username,weed
12,12,1989,average_build,,,,omnivore,has_dogs,socially,never,working_on,university,woman,164,tw,tai-chung-shih,,straight,,,sagittarius,no,single,lynnjang,
13,1,1989,average_build,,doesnt_have,,,,socially,never,,university,woman,161,tw,taipei,monogamous,straight,,,capricorn,no,single,lynxathena,
9,2,1979,average_build,,,might_want,omnivore,,socially,never,,post_grad,man,168,tw,taipei,monogamous,straight,but_its_not_important,buddhism,aquarius,no,single,lz229d,
2,9,1987,,,,,,,,never,,,man,0,tw,taipei,,straight,,,,,single,m4rktp,
15,10,1991,,,,,,,socially,never,,university,woman,162,tw,taipei,,straight,,,,no,single,m801015mag,
17,2,1992,fit,,,,,,not_at_all,never,,university,man,180,tw,,,straight,,,,no,single,maaha02,
14,12,1974,thin,,doesnt_have,,,,socially,never,,post_grad,man,183,tw,kao-hsiung-ka,monogamous,straight,,,,no,single,mackallan,
15,3,1982,,,,,,,,,,,woman,0,tw,,,straight,,,,,single,mackenzie_tai,
29,1,1986,fit,,doesnt_have,wants,,,socially,never,,university,man,174,tw,taipei,monogamous,straight,,christianity,aquarius,no,single,mactseng,
14,9,1975,,,,,,,,,,,woman,100,tw,tai-chung-shih,,straight,,,,,single,maddyc14,
15,4,1983,,,,,,,socially,never,,,man,0,tw,tai-chung-shih,,straight,,,,no,single,madeintaiwanmit,
24,4,1989,,,,,,,,never,,,woman,0,tw,hsin-chu,,straight,,,,,single,madhi24,
17,11,1982,,,,,,,,,,,man,0,tw,hsin-chu,,straight,,,,,single,madmanrom,
5,11,1975,,,,,,,,,,,man,0,tw,taipei,,straight,,,,,single,madmanwith,
17,6,1990,,,,,,,,never,,,man,0,tw,hsin-chu,,straight,,,,,single,maflix,
30,11,1972,,,,,,,,,,,woman,0,tw,taipei,,straight,,,,,single,magalikk,
9,11,1982,,,,,,has_dogs,,,,,man,0,tw,ta-an,,straight,,,scorpio,,single,magdalen1109,
25,10,1984,,,,,,,,,,,woman,0,tw,wu-kuai-tso,,straight,,,,,single,maggic_taco,
21,5,1996,,,,,,,socially,never,,,woman,161,tw,tao-yan,,straight,,,gemini,no,single,maggie_tsai,
16,1,1975,,,,,,,,never,,,woman,0,tw,kao-hsiung-ka,,straight,,,,,single,maggieagnesb,
5,1,1996,,,,,,,,never,,,woman,168,tw,taipei,,straight,,,,no,single,magic0105,
26,6,1985,fit,,doesnt_have,,,,,,,university,man,187,tw,chang-pei-li,,straight,,,,,single,magongjie,
3,2,1990,,,,wants,,,socially,never,,university,woman,155,tw,tai-yeh-chuang,,straight,,catholicism,aquarius,no,single,maine0203,
5,6,1991,,,doesnt_have,wants,,,often,never,,,woman,0,tw,tao-yan,,straight,,,,,single,makedreaming,
9,9,1990,,,,,,,socially,never,,post_grad,woman,0,tw,taipei,,straight,but_its_not_important,other,aries,no,single,makeitseasy,
6,3,1982,fit,,,,,,socially,,,,man,183,tw,taipei,,straight,,,,no,single,makuso69,
24,5,1994,,,,,,,,never,,,woman,0,tw,chang-hua,,straight,,,,no,single,malanouo,
14,4,1967,average_build,,doesnt_have,might_want,,,socially,never,,,man,168,tw,taipei,,straight,,,aries,,single,malo-saurus,
24,3,1990,curvy,,doesnt_have,might_want,,,not_at_all,never,,university,woman,162,tw,taipei,monogamous,straight,,,,no,single,mams790324,
27,9,1991,,,,,,,socially,never,,post_grad,woman,0,tw,taipei,,straight,,,,no,single,man-jyun,
5,2,1987,,,,,,,,,working_on,,man,0,tw,taipei,,straight,,,,,single,man62223,
10,10,1984,,,,,,has_dogs,socially,never,,,woman,168,tw,nei-hu-nei,,straight,,,libra,,single,manda_1010,
5,9,1983,fit,,doesnt_have,,,,socially,never,,,woman,164,tw,taipei,,straight,,,,no,single,mandy123pop,
6,11,1994,average_build,,doesnt_have,might_want,omnivore,,socially,never,working_on,university,woman,160,tw,,monogamous,straight,,,scorpio,no,single,mandy1452,
29,8,1993,,,,,,has_dogs,socially,,,,woman,0,tw,taipei,,straight,,,virgo,,single,mandy88210,
9,2,1975,,,,,,,,,,,woman,0,tw,tai-chung-shih,,straight,,,,,single,mandyhsieh,
4,4,1989,thin,,,,omnivore,has_dogs,socially,never,,university,woman,160,tw,,monogamous,straight,but_its_not_important,buddhism,,no,single,mandywang0404,
21,5,1991,,,doesnt_have,,,,socially,never,working_on,university,woman,156,tw,,,straight,,,taurus,no,single,mangochentw,
30,11,1972,fit,,,,,,socially,,,space_camp,man,177,tw,taipei,,straight,and_laughing_about_it,agnosticism,scorpio,no,single,mangolicioso,
2,5,1978,,,,,,,,,,,man,0,tw,taipei,,straight,,,,,single,mangostem,
18,11,1990,,,,,,,,never,,,man,0,tw,,,straight,,,,,single,manianheng,
26,12,1997,,,,,,,,,,,man,0,tw,taipei,,straight,,,,,single,manssso,
6,8,1984,thin,,,,,,socially,never,,university,man,170,tw,hsi-chih,,straight,,,leo,,single,maojojo,
29,3,1948,,,,,,,,,,,man,0,tw,taipei,,straight,,,,,single,maolung037,
16,2,1993,thin,has_cats,,,,,socially,never,,university,woman,168,tw,taipei,,straight,but_its_not_important,judaism,aquarius,no,single,maomeowsaurus,
16,12,1992,,,,,,,,,,,man,0,tw,wa-yao-tzu,,straight,,,,,single,mar92jh,
24,4,1978,fit,has_cats,doesnt_have,wants,omnivore,,often,never,,post_grad,man,178,tw,taipei,,straight,but_its_not_important,atheism,taurus,no,single,mar_tn,
20,1,1981,fit,has_cats,doesnt_have,,,,socially,never,,post_grad,woman,165,tw,taipei,,straight,and_its_important,christianity,,no,single,marble120,
1,12,1990,,,,,,,,,,,woman,0,tw,taipei,,straight,,,,,single,marchein,
24,11,1974,,,,,,,,never,,,man,0,tw,tai-chung-shih,,straight,,,,,single,marctw,
19,7,1996,,,doesnt_have,,,,,never,,university,woman,0,tw,taipei,,straight,,,cancer,no,single,margaretweiwei,
29,1,1990,,,,,,,socially,never,,,woman,165,tw,taipei,,bisexual,,,,no,single,margaux129,
6,6,1993,a_little_extra,has_cats,doesnt_have,,omnivore,has_dogs,socially,never,working_on,university,woman,160,tw,kao-hsiung-ka,,straight,,,gemini,no,seeing_someone,margo_lu,
7,11,1981,,,doesnt_have,,,,,,,post_grad,woman,0,tw,taipei,,straight,,,,,single,marianajp,
26,9,1976,average_build,,has,,,,,never,,,woman,0,tw,,,straight,,catholicism,libra,,single,mariatheresa2626,
9,1,1983,,,,,,,,never,,,woman,0,tw,,,straight,,,,,single,maribel_cambanga,
12,1,1986,,,,,,,,,,,woman,0,tw,,,straight,,,,,single,maribelypiz,
1,3,1983,average_build,,,,vegetarian,,socially,never,,two_year_college,woman,0,tw,tan-tzu,,straight,,catholicism,pisces,no,single,maricelttt,
15,6,1974,,,,,,,,,,,woman,0,tw,taipei,,straight,,,,,single,marieyin_taco,
