birthDateDay,birthDateMonth,birthDateYear,bodytype,cats,childrenHave,childrenWant,diet,dogs,drinking,drugs,educationModifier,educationValue,gender,heightCm,locationCountryCode,locationFormatted,monogamous,orientation,religionModifier,religionValue,sign,smoking,status,username,weed
15,12,1970,,,,,,,socially,never,,,woman,0,tw,taipei,,straight,,,,no,single,evan-clarinet,
1,1,1994,average_build,,doesnt_have,might_want,omnivore,,not_at_all,never,,high_school,man,173,tw,kao-hsiung-ka,,gay,,,capricorn,no,single,evans830101,
26,6,1993,fit,,,might_want,omnivore,,socially,never,,university,man,170,tw,taipei,monogamous,gay,,,cancer,no,single,evanxfavor,
10,2,1984,,,,,,,,never,,,woman,0,tw,taipei,,straight,,,,,single,evebubbledream,
4,6,1986,,,,might_want,,,often,never,,,woman,0,tw,taipei,,straight,,,gemini,no,single,evelynshadow,
1,6,1980,thin,,doesnt_have,,omnivore,,socially,never,,post_grad,woman,160,tw,kao-hsiung-ka,monogamous,straight,,,gemini,no,single,evenisodd,
28,2,1984,,,,,,,socially,never,,,woman,151,tw,taipei,monogamous,straight,,,pisces,no,single,everythingforare,
10,3,1988,rather_not_say,,has,might_want,,,socially,never,,,woman,157,tw,,,straight,,,aquarius,no,single,exodia88,
1,10,1990,average_build,,doesnt_have,might_want,omnivore,,socially,never,,,man,178,tw,tai-chung-shih,,straight,but_its_not_important,buddhism,libra,no,single,exodus531,
25,1,1988,average_build,,doesnt_have,,omnivore,,socially,never,,university,man,170,tw,chiang-ling-li,,straight,,,,no,single,explora30,
22,2,1990,,,,,,,,never,,,woman,0,tw,tai-chung-shih,,straight,,,,,single,eyelidsiq,
6,3,1993,,,,,omnivore,,socially,never,,university,woman,172,tw,hung-i-li,monogamous,straight,,,pisces,no,single,eyunhsieh,
3,12,1993,,,,,,,,,,,woman,0,tw,huan-ya,,bisexual,,,,,single,ezhen_huang,
19,6,1983,,,,,,,,,,,woman,0,tw,taipei,,straight,,,,,single,f112234,
16,10,1991,,,,,,,,,,,man,0,tw,chi-fu-tsun,,straight,,,,,single,f9923007,
26,6,1979,fit,,doesnt_have,wants,omnivore,,socially,never,,post_grad,woman,170,tw,taipei,,straight,but_its_not_important,buddhism,cancer,no,single,fabulous_one26,
12,12,1983,average_build,,doesnt_have,might_want,,,socially,never,dropped_out_of,university,man,185,tw,,,straight,but_its_not_important,other,leo,no,single,facesmania,
12,6,1980,thin,,doesnt_have,might_want,omnivore,,socially,never,,university,woman,162,tw,taipei,monogamous,straight,,atheism,gemini,no,single,fair_child,
23,7,1986,,,,,,,,never,,,woman,0,tw,kao-hsiung-ka,,straight,,christianity,,no,single,faith08_kawai,
1,2,1965,fit,,has,might_want,omnivore,,socially,never,,university,man,160,tw,taipei,,straight,but_its_not_important,buddhism,,no,single,falan5402,
7,12,1988,thin,,,,omnivore,,socially,never,,university,man,170,tw,tai-chung-shih,,straight,,,sagittarius,no,single,fanfanyi,
19,11,1985,,,,,,,socially,never,,,woman,158,tw,taipei,,straight,,,scorpio,no,single,fang-chia-lu,
19,10,1973,fit,,,,,,not_at_all,,,university,woman,0,tw,taipei,,straight,,,,no,single,fangchunthecat,
8,6,1993,,,,,,,,never,,,woman,0,tw,taipei,,straight,,,,,single,fannychang_68,
7,4,1992,,,,,,,,,,,man,0,tw,hsin-chu,,straight,,,,,single,fanuelwahjudi,
9,7,1990,,,,,,,socially,never,,,man,181,tw,ku-ting,,straight,,,,no,single,faustino888,
14,8,1984,thin,,doesnt_have,might_want,vegetarian,has_dogs,socially,never,,university,man,178,tw,kao-hsiung-ka,monogamous,straight,,,leo,no,single,fe7o,
6,10,1979,fit,,,might_want,,has_dogs,socially,never,,university,woman,158,tw,jen-mei,,straight,,,,no,single,fecsvlove,
15,7,1974,average_build,,,,,has_dogs,socially,never,,,woman,158,tw,taipei,,straight,,buddhism,,no,single,feifei715,
15,5,1983,fit,,,,,,,never,,,woman,0,tw,yan-yin,,straight,,,,no,single,feina-,
2,2,1987,a_little_extra,,,,,,socially,never,,university,woman,160,tw,taipei,,straight,,,aquarius,no,single,feliciacia,
2,1,1967,,,,,,,not_at_all,never,,,woman,168,tw,kao-hsiung-ka,,straight,,,,no,single,feliz828,
1,1,1985,curvy,,,,,has_dogs,socially,,,,woman,0,tw,taipei,,straight,,,,,single,fellatia69,
7,12,1990,average_build,,,,,,socially,never,,university,woman,0,tw,tai-chung-shih,,straight,,,,,single,femiiiiii,
1,4,1967,,,,,,,not_at_all,never,,university,woman,0,tw,ta-kang-pu,,straight,,christianity,,no,single,fengyingtw,
23,11,1974,average_build,,doesnt_have,might_want,omnivore,,socially,never,,post_grad,woman,168,tw,nan-tou,monogamous,straight,,,sagittarius,no,single,fenshia,
